
910643-Dep. Leur Lomanto Júnior-02- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21720
910643-Dep. Leur Lomanto Júnior-03- 2012- Divulgação da  atividade parlamentar- 10985
910643-Dep. Leur Lomanto Júnior-04- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-05- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-05- 2012- Divulgação da  atividade parlamentar- 11085
910643-Dep. Leur Lomanto Júnior-05- 2012- Locomoção, hospedagem- 5000
910643-Dep. Leur Lomanto Júnior-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-06- 2012- Divulgação da  atividade parlamentar- 720
910643-Dep. Leur Lomanto Júnior-06- 2012- Locomoção, hospedagem- 4000
910643-Dep. Leur Lomanto Júnior-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-08- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-08- 2012- Divulgação da  atividade parlamentar- 720
910643-Dep. Leur Lomanto Júnior-09- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-09- 2012- Divulgação da  atividade parlamentar- 10950
910643-Dep. Leur Lomanto Júnior-10- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
910643-Dep. Leur Lomanto Júnior-11- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-11- 2012- Divulgação da  atividade parlamentar- 13140
910643-Dep. Leur Lomanto Júnior-12- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
910643-Dep. Leur Lomanto Júnior-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16720
910643-Dep. Leur Lomanto Júnior-02- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2013- Divulgação da  atividade parlamentar- 2100
910643-Dep. Leur Lomanto Júnior-04- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-04- 2013- Divulgação da  atividade parlamentar- 11050
910643-Dep. Leur Lomanto Júnior-05- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-06- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-06- 2013- Divulgação da  atividade parlamentar- 39900
910643-Dep. Leur Lomanto Júnior-06- 2013- Locomoção, hospedagem- 5000
910643-Dep. Leur Lomanto Júnior-07- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-09- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1440
910643-Dep. Leur Lomanto Júnior-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-10- 2013- Divulgação da  atividade parlamentar- 2100
910643-Dep. Leur Lomanto Júnior-11- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-12- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-12- 2013- Divulgação da  atividade parlamentar- 57480
910643-Dep. Leur Lomanto Júnior-12- 2013- Locomoção, hospedagem- 2450
910643-Dep. Leur Lomanto Júnior-01- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-02- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2014- Divulgação da  atividade parlamentar- 2100
910643-Dep. Leur Lomanto Júnior-04- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-04- 2014- Divulgação da  atividade parlamentar- 34200
910643-Dep. Leur Lomanto Júnior-05- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
910643-Dep. Leur Lomanto Júnior-06- 2014- Divulgação da  atividade parlamentar- 24780
910643-Dep. Leur Lomanto Júnior-06- 2014- Locomoção, hospedagem- 13600
910643-Dep. Leur Lomanto Júnior-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-08- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
