
915869-Dep. Zé Raimundo-01- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3170.72
915869-Dep. Zé Raimundo-01- 2014- Aquisição de material de expediente- 381.25
915869-Dep. Zé Raimundo-01- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1034.62
915869-Dep. Zé Raimundo-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-01- 2014- Divulgação da  atividade parlamentar- 9700
915869-Dep. Zé Raimundo-02- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3066.2
915869-Dep. Zé Raimundo-02- 2014- Aquisição de material de expediente- 140.21
915869-Dep. Zé Raimundo-02- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 533.51
915869-Dep. Zé Raimundo-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10106.12
915869-Dep. Zé Raimundo-02- 2014- Divulgação da  atividade parlamentar- 7000
915869-Dep. Zé Raimundo-03- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2983.45
915869-Dep. Zé Raimundo-03- 2014- Aquisição de material de expediente- 1590
915869-Dep. Zé Raimundo-03- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1004.98
915869-Dep. Zé Raimundo-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-03- 2014- Divulgação da  atividade parlamentar- 3300
915869-Dep. Zé Raimundo-03- 2014- Locomoção, hospedagem- 0
915869-Dep. Zé Raimundo-04- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3099.79
915869-Dep. Zé Raimundo-04- 2014- Aquisição de material de expediente- 1884.33
915869-Dep. Zé Raimundo-04- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2195.38
915869-Dep. Zé Raimundo-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5113.58
915869-Dep. Zé Raimundo-04- 2014- Divulgação da  atividade parlamentar- 21030
915869-Dep. Zé Raimundo-05- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3791.31
915869-Dep. Zé Raimundo-05- 2014- Aquisição de material de expediente- 813.5799999999999
915869-Dep. Zé Raimundo-05- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3647.62
915869-Dep. Zé Raimundo-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10113.58
915869-Dep. Zé Raimundo-05- 2014- Divulgação da  atividade parlamentar- 29620.8
915869-Dep. Zé Raimundo-05- 2014- Locomoção, hospedagem- 357.8
915869-Dep. Zé Raimundo-06- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3155.42
915869-Dep. Zé Raimundo-06- 2014- Aquisição de material de expediente- 6806.08
915869-Dep. Zé Raimundo-06- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2265.16
915869-Dep. Zé Raimundo-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-06- 2014- Divulgação da  atividade parlamentar- 25550
915869-Dep. Zé Raimundo-07- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 346.2
915869-Dep. Zé Raimundo-07- 2014- Aquisição de material de expediente- 323.29
915869-Dep. Zé Raimundo-07- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2143.38
915869-Dep. Zé Raimundo-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-08- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 6171.3
915869-Dep. Zé Raimundo-08- 2014- Aquisição de material de expediente- 1194.08
915869-Dep. Zé Raimundo-08- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1010.26
915869-Dep. Zé Raimundo-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5113.58
915869-Dep. Zé Raimundo-09- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3258.88
915869-Dep. Zé Raimundo-09- 2014- Aquisição de material de expediente- 84.59999999999999
915869-Dep. Zé Raimundo-09- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 113.58
915869-Dep. Zé Raimundo-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-10- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3279.17
915869-Dep. Zé Raimundo-10- 2014- Aquisição de material de expediente- 616.24
915869-Dep. Zé Raimundo-10- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1115.62
915869-Dep. Zé Raimundo-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-11- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3289.79
915869-Dep. Zé Raimundo-11- 2014- Aquisição de material de expediente- 3219.44
915869-Dep. Zé Raimundo-11- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1619.24
915869-Dep. Zé Raimundo-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-11- 2014- Divulgação da  atividade parlamentar- 24000
915869-Dep. Zé Raimundo-12- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3717.51
915869-Dep. Zé Raimundo-12- 2014- Aquisição de material de expediente- 1710
915869-Dep. Zé Raimundo-12- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1747.64
915869-Dep. Zé Raimundo-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915869-Dep. Zé Raimundo-12- 2014- Divulgação da  atividade parlamentar- 80364.39999999999
915869-Dep. Zé Raimundo-01- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3187.75
915869-Dep. Zé Raimundo-01- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 818.39
915869-Dep. Zé Raimundo-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-01- 2015- Divulgação da  atividade parlamentar- 9800
915869-Dep. Zé Raimundo-02- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3940
915869-Dep. Zé Raimundo-02- 2015- Aquisição de material de expediente- 0
915869-Dep. Zé Raimundo-03- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 6198.79
