
915871-Dep. Tom Araújo-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18600
915871-Dep. Tom Araújo-08- 2015- Divulgação da  atividade parlamentar- 600
915871-Dep. Tom Araújo-08- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 702.98
915871-Dep. Tom Araújo-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-09- 2015- Divulgação da  atividade parlamentar- 300
915871-Dep. Tom Araújo-09- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-10- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 103.74
915871-Dep. Tom Araújo-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18600
915871-Dep. Tom Araújo-10- 2015- Divulgação da  atividade parlamentar- 23800
915871-Dep. Tom Araújo-10- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-11- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-11- 2015- Divulgação da  atividade parlamentar- 1300
915871-Dep. Tom Araújo-11- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-12- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 729.87
915871-Dep. Tom Araújo-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-12- 2015- Divulgação da  atividade parlamentar- 32800
915871-Dep. Tom Araújo-12- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-01- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 712.8099999999999
915871-Dep. Tom Araújo-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-01- 2016- Divulgação da  atividade parlamentar- 1300
915871-Dep. Tom Araújo-01- 2016- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 42600
915871-Dep. Tom Araújo-02- 2016- Divulgação da  atividade parlamentar- 1300
915871-Dep. Tom Araújo-03- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 708.58
915871-Dep. Tom Araújo-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915871-Dep. Tom Araújo-03- 2016- Divulgação da  atividade parlamentar- 1300
915871-Dep. Tom Araújo-04- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 718.35
915871-Dep. Tom Araújo-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915871-Dep. Tom Araújo-04- 2016- Divulgação da  atividade parlamentar- 1300
915871-Dep. Tom Araújo-05- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 708.1800000000001
915871-Dep. Tom Araújo-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915871-Dep. Tom Araújo-05- 2016- Divulgação da  atividade parlamentar- 1310
915871-Dep. Tom Araújo-06- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 836.97
915871-Dep. Tom Araújo-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33000
