
919329-Dep. Marquinho Viana-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-02- 2017- Divulgação da  atividade parlamentar- 3600
919329-Dep. Marquinho Viana-02- 2017- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-03- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2900.71
919329-Dep. Marquinho Viana-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-03- 2017- Divulgação da  atividade parlamentar- 600
919329-Dep. Marquinho Viana-03- 2017- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-04- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 869.89
919329-Dep. Marquinho Viana-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-04- 2017- Divulgação da  atividade parlamentar- 600
919329-Dep. Marquinho Viana-04- 2017- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-05- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1915.96
919329-Dep. Marquinho Viana-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-05- 2017- Divulgação da  atividade parlamentar- 30850
919329-Dep. Marquinho Viana-05- 2017- Locomoção, hospedagem- 169.9
919329-Dep. Marquinho Viana-06- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2738.93
919329-Dep. Marquinho Viana-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
